생존	A	B	장	절	관
1	1	0	제1장 재정학의 개요	제2절 경제적 효율성과 시장실패	제2관 후생경제학의 기본정리
1	1	0	제3장 공공지출이론	제7절 비용-편익분석	제4관 위험과 불확실성
1	1	0	제4장 조세의 기초 및 전가와 귀착	제8절 조세의 기초이론	제2관 조세부담의 측정
1	1	0	제4장 조세의 기초 및 전가와 귀착	제8절 조세의 기초이론	제4관 우리나라 조세체계
1	0	1	제4장 조세의 기초 및 전가와 귀착	제8절 조세의 기초이론	제3관 조세의 초과부담
2	2	0	제1장 국제무역론	제2절 무역정책론	제4관 경제통합과 WTO
2	0	2	제4장 총수요·총공급이론	제10절 재정정책과 금융정책	제3관 구축효과
2	1	1	제1장 재정학의 개요	제1절 재정학의 기초	제2관 정부의 경제적 역할 (머스그레이브의 3대 기능)
2	1	1	제1장 재정학의 개요	제1절 재정학의 기초	제3관 재정학의 분석방법
2	2	0	제2장 외부성, 공공재, 공공선택이론	제3절 외부성	제2관 코즈정리
2	1	1	제2장 외부성, 공공재, 공공선택이론	제5절 공공선택이론	제3관 정치과정과 정부실패
3	2	1	제4장 조세의 기초 및 전가와 귀착	제9절 조세의 전가와 귀착	제2관 부분균형 분석
3	2	1	제4장 조세의 기초 및 전가와 귀착	제9절 조세의 전가와 귀착	제3관 일반균형 분석 (하버거 모형)
3	3	0	제5장 조세의 초과부담 및 최적과세론	제10절 조세와 효율성 : 초과부담	제3관 노동공급·저축·투자에 미치는 영향
3	2	1	제1장 국제무역론	제1절 국제무역이론	제4관 신무역이론 (크루그먼·차별제품)
3	2	1	제1장 국제무역론	제2절 무역정책론	제2관 비관세장벽 (수입할당·수출자율규제)
3	3	0	제2장 국제금융론	제4절 국제수지론	제3관 J-curve 효과
3	1	2	제2장 국제금융론	제4절 국제수지론	제4관 먼델-플레밍 모형
3	3	0	제2장 소비함수론과 투자함수론	제6절 투자함수론	제4관 토빈의 q이론
3	1	2	제4장 총수요·총공급이론	제10절 재정정책과 금융정책	제2관 금융정책의 효과
3	3	0	제4장 총수요·총공급이론	제10절 재정정책과 금융정책	제4관 정책혼합 (policy mix)
3	3	0	제7장 경기변동과 경제성장	제18절 경기변동론	제4관 새케인즈학파의 경기변동이론
3	3	0	제7장 일반균형이론 및 후생경제학	제22절 후생경제학	제1관 후생경제학의 제1·제2정리
3	1	2	제3장 소비자이론	제8절 현시선호이론	제2관 수요곡선의 도출
3	1	2	제7장 일반균형이론 및 후생경제학	제21절 일반균형이론과 경제적 효율성	제3관 효율성의 조건
3	1	2	제2장 외부성, 공공재, 공공선택이론	제4절 공공재이론	제2관 공공재의 최적공급 (린달균형·사뮤엘슨 조건)
3	2	1	제3장 공공지출이론	제6절 정부지출과 예산제도	제4관 발생주의 예산회계
4	2	2	제1장 재정학의 개요	제2절 경제적 효율성과 시장실패	제3관 시장실패의 원인
4	4	0	제4장 조세의 기초 및 전가와 귀착	제9절 조세의 전가와 귀착	제4관 시장구조별 조세귀착
4	4	0	제6장 조세의 경제적 효과	제13절 조세의 경제적 효과	제3관 조세와 위험부담
4	2	2	제7장 재정학의 기타주제	제14절 소득분배 및 사회보장	제2관 빈곤의 측정
4	2	2	제1장 국제무역론	제1절 국제무역이론	제2관 헥셔-올린 정리
